CpG,Chr,Position,Nearest gene,Gene group,Mean,SD,EST (week,P (week),EST (decade),P (decade),EST (life),P (life),FDR p (week),FDR p (decade),FDR p (life),Novel,Any at 10-7,Any at FDR=0.05
cg03970900,1,222440048,,,0.73,0.070,0.0011,8.6E-04,0.0011,5.5E-04,0.0011,2.0E-03,3.2E-02,4.8E-02,9.3E-02,,,yes
cg10321196,X,118601891,LOC100303728,Body,0.72,0.070,-0.0011,8.6E-04,-0.0009,3.4E-03,-0.0010,2.4E-03,3.2E-02,1.3E-01,1.0E-01,,,yes
cg27462475,13,99736304,DOCK9,Body,0.87,0.044,-0.0010,8.6E-04,-0.0007,1.9E-02,-0.0009,6.5E-03,3.2E-02,3.0E-01,1.7E-01,,,yes
cg05512157,12,50901878,DIP2B,Body,0.59,0.086,-0.0010,8.6E-04,-0.0006,3.7E-02,-0.0006,5.0E-02,3.2E-02,3.8E-01,4.3E-01,,,yes
cg00002033,19,39798481,LRFN1,Body,0.84,0.082,-0.0023,8.6E-04,-0.0021,1.0E-03,-0.0021,3.9E-03,3.2E-02,6.9E-02,1.3E-01,,,yes
cg04679902,22,19752869,TBX1,Body,0.31,0.095,-0.0015,8.6E-04,-0.0009,2.2E-02,-0.0012,9.0E-03,3.2E-02,3.1E-01,2.0E-01,,,yes
cg15742116,19,8130625,FBN3,3'UTR,0.20,0.054,-0.0010,8.6E-04,-0.0007,1.4E-02,-0.0007,3.1E-02,3.2E-02,2.6E-01,3.5E-01,,,yes
cg04676627,19,59024873,SLC27A5,TSS1500,0.91,0.026,-0.0010,8.6E-04,-0.0004,9.3E-02,-0.0007,1.5E-02,3.2E-02,5.3E-01,2.6E-01,,,yes
cg17164513,19,2064075,,,0.90,0.032,-0.0010,8.6E-04,-0.0005,7.5E-02,-0.0005,9.8E-02,3.2E-02,4.9E-01,5.4E-01,,,yes
cg26425045,10,36813278,,,0.30,0.053,-0.0007,8.6E-04,-0.0006,2.6E-03,-0.0005,1.8E-02,3.2E-02,1.2E-01,2.8E-01,,,yes
cg12099459,1,147826902,,,0.71,0.086,-0.0014,8.6E-04,-0.0010,6.6E-03,-0.0009,3.6E-02,3.2E-02,1.9E-01,3.7E-01,,,yes
cg01916918,8,27461199,CLU,Body,0.88,0.037,-0.0009,8.6E-04,-0.0004,1.6E-01,-0.0007,1.5E-02,3.2E-02,6.3E-01,2.6E-01,,,yes
cg04340114,16,89468673,ANKRD11,5'UTR,0.95,0.023,-0.0019,8.6E-04,-0.0017,9.3E-04,-0.0016,8.2E-03,3.2E-02,6.5E-02,1.9E-01,,,yes
cg23376861,18,43678713,ATP5A1,5'UTR,0.84,0.051,-0.0011,8.6E-04,-0.0011,6.6E-04,-0.0013,2.1E-04,3.2E-02,5.3E-02,2.4E-02,,,yes
cg01052276,2,97200489,,,0.87,0.043,-0.0013,8.6E-04,-0.0008,3.4E-02,-0.0009,3.1E-02,3.2E-02,3.7E-01,3.5E-01,,,yes
cg05845615,10,35606672,CCNY,5'UTR,0.85,0.034,-0.0008,8.6E-04,-0.0005,3.5E-02,-0.0003,2.2E-01,3.2E-02,3.8E-01,7.0E-01,,,yes
cg16415058,10,108923781,SORCS1,1stExon,0.26,0.046,-0.0007,8.6E-04,-0.0005,1.3E-02,-0.0005,2.2E-02,3.2E-02,2.5E-01,3.1E-01,,,yes
cg18712352,14,64972736,ZBTB1,5'UTR,0.25,0.077,-0.0012,8.6E-04,-0.0008,1.8E-02,-0.0012,1.7E-03,3.2E-02,2.9E-01,8.5E-02,,,yes
cg01124539,9,132312108,,,0.73,0.061,-0.0009,8.6E-04,-0.0003,1.7E-01,-0.0004,1.5E-01,3.2E-02,6.4E-01,6.2E-01,,,yes
cg11261850,11,76320970,,,0.39,0.078,-0.0010,8.6E-04,-0.0006,2.8E-02,-0.0010,8.1E-04,3.2E-02,3.5E-01,5.6E-02,,,yes
cg13088755,X,78200041,P2RY10,TSS1500,0.84,0.065,-0.0012,8.6E-04,-0.0005,1.2E-01,-0.0005,1.5E-01,3.2E-02,5.8E-01,6.2E-01,,,yes
cg26132647,3,50298315,,,0.60,0.064,-0.0005,8.6E-04,-0.0004,1.2E-02,-0.0004,1.3E-02,3.2E-02,2.4E-01,2.4E-01,,,yes
cg25393574,19,20277963,ZNF486,TSS200,0.29,0.031,-0.0004,8.6E-04,-0.0003,3.3E-02,-0.0002,8.1E-02,3.2E-02,3.7E-01,5.1E-01,,,yes
cg18884555,22,38610234,MAFF,Body,0.81,0.046,-0.0010,8.6E-04,-0.0009,4.1E-04,-0.0007,1.4E-02,3.2E-02,4.0E-02,2.5E-01,,,yes
cg19492423,19,18700933,C19orf60,Body,0.77,0.069,-0.0013,8.6E-04,-0.0012,9.4E-04,-0.0010,1.5E-02,3.2E-02,6.5E-02,2.5E-01,,,yes
cg09530594,19,10855405,DNM2,Body,0.44,0.046,-0.0006,8.6E-04,-0.0005,1.5E-03,-0.0003,1.4E-01,3.2E-02,8.7E-02,6.2E-01,,,yes
cg10071186,14,71194292,,,0.95,0.022,-0.0017,8.7E-04,-0.0011,1.9E-02,-0.0011,3.6E-02,3.2E-02,3.0E-01,3.7E-01,,,yes
cg12161971,11,77907332,USP35,Body,0.74,0.090,-0.0016,8.7E-04,-0.0012,7.1E-03,-0.0006,2.0E-01,3.2E-02,1.9E-01,6.8E-01,,,yes
cg08358907,19,17877508,FCHO1,Body,0.50,0.075,-0.0005,8.7E-04,-0.0003,7.2E-02,-0.0003,4.5E-02,3.2E-02,4.9E-01,4.1E-01,,,yes
cg19137107,11,44541999,,,0.50,0.041,-0.0005,8.7E-04,-0.0002,9.4E-02,-0.0003,6.9E-02,3.2E-02,5.4E-01,4.8E-01,,,yes
cg02865595,1,36771714,C1orf113,TSS1500,0.79,0.049,-0.0010,8.7E-04,-0.0010,1.1E-04,-0.0012,4.6E-05,3.2E-02,1.7E-02,9.3E-03,,,yes
cg00158333,17,47075855,IGF2BP1,Body,0.13,0.042,-0.0011,8.7E-04,-0.0005,1.2E-01,-0.0008,1.5E-02,3.2E-02,5.7E-01,2.6E-01,,,yes
cg14755019,4,41749810,PHOX2B,Body,0.36,0.058,-0.0008,8.7E-04,-0.0006,7.1E-03,-0.0005,3.9E-02,3.2E-02,1.9E-01,3.9E-01,,,yes
cg24675673,12,28204448,,,0.89,0.032,-0.0009,8.7E-04,-0.0007,4.4E-03,-0.0012,1.3E-05,3.2E-02,1.5E-01,4.1E-03,,,yes
cg19445690,2,74210890,,,0.43,0.080,-0.0006,8.7E-04,-0.0003,6.6E-02,-0.0003,1.1E-01,3.2E-02,4.8E-01,5.6E-01,,,yes
cg04746089,8,145501862,BOP1,Body,0.67,0.061,-0.0010,8.7E-04,-0.0005,8.6E-02,-0.0008,9.3E-03,3.2E-02,5.2E-01,2.1E-01,,,yes
cg11403708,20,62605086,,,0.35,0.075,-0.0007,8.7E-04,-0.0002,3.5E-01,-0.0003,1.5E-01,3.2E-02,7.9E-01,6.2E-01,,,yes
cg05884711,16,2563274,ATP6V0C,TSS1500,0.65,0.063,-0.0008,8.7E-04,-0.0007,1.7E-03,-0.0008,1.5E-03,3.2E-02,9.1E-02,7.8E-02,,,yes
cg09113070,2,86114036,ST3GAL5,Body,0.46,0.096,-0.0006,8.7E-04,-0.0003,1.6E-01,-0.0002,4.5E-01,3.2E-02,6.3E-01,8.5E-01,,,yes
cg20977312,5,172748917,STC2,Body,0.60,0.117,-0.0007,8.7E-04,-0.0008,3.6E-05,-0.0008,3.6E-04,3.2E-02,8.4E-03,3.4E-02,,,yes
cg25407876,10,75005362,DNAJC9,Body,0.88,0.049,-0.0015,8.7E-04,-0.0010,9.8E-03,-0.0010,3.2E-02,3.2E-02,2.2E-01,3.6E-01,,,yes
cg17631451,3,48507354,TREX1,5'UTR,0.21,0.045,-0.0008,8.7E-04,-0.0004,4.6E-02,-0.0006,9.6E-03,3.2E-02,4.2E-01,2.1E-01,,,yes
cg08002883,3,192127457,FGF12,TSS1500,0.10,0.090,-0.0028,8.7E-04,-0.0025,1.0E-03,-0.0021,1.7E-02,3.2E-02,6.9E-02,2.7E-01,,,yes
cg24286200,7,139481268,TBXAS1,5'UTR,0.94,0.017,-0.0010,8.7E-04,-0.0010,1.7E-04,-0.0011,1.7E-04,3.2E-02,2.3E-02,2.2E-02,,,yes
cg15537850,8,144661051,NAPRT1,TSS1500,0.73,0.069,-0.0011,8.7E-04,-0.0006,3.4E-02,-0.0009,5.0E-03,3.2E-02,3.7E-01,1.5E-01,,,yes
cg13389508,8,145012644,PLEC1,Body,0.48,0.043,-0.0005,8.7E-04,-0.0004,2.3E-03,-0.0003,4.5E-02,3.2E-02,1.1E-01,4.1E-01,,,yes
cg23935420,11,65123609,TIGD3,Body,0.75,0.055,-0.0010,8.7E-04,-0.0010,1.2E-04,-0.0012,1.1E-04,3.2E-02,1.9E-02,1.6E-02,,,yes
cg21453409,22,23911237,,,0.56,0.034,-0.0004,8.7E-04,-0.0004,2.6E-03,-0.0004,8.3E-03,3.2E-02,1.1E-01,1.9E-01,,,yes
cg24724561,3,33132538,TMPPE,3'UTR,0.93,0.026,-0.0009,8.7E-04,-0.0007,5.9E-03,-0.0010,4.6E-04,3.2E-02,1.8E-01,4.0E-02,,,yes
cg04011995,1,41326317,,,0.64,0.110,-0.0007,8.7E-04,-0.0006,1.9E-03,-0.0005,2.6E-02,3.2E-02,9.7E-02,3.3E-01,,,yes
cg12960696,5,148404114,SH3TC2,Body,0.70,0.067,-0.0008,8.7E-04,-0.0005,4.4E-02,-0.0008,3.2E-03,3.2E-02,4.1E-01,1.2E-01,,,yes
cg26730543,6,30039600,RNF39,Body,0.49,0.074,-0.0010,8.7E-04,-0.0007,2.0E-02,-0.0006,6.4E-02,3.2E-02,3.0E-01,4.7E-01,,,yes
cg21444693,19,58446787,ZNF418,TSS200,0.24,0.085,-0.0013,8.7E-04,-0.0010,7.1E-03,-0.0003,4.3E-01,3.2E-02,1.9E-01,8.4E-01,,,yes
cg06753367,22,24256600,,,0.89,0.031,-0.0010,8.7E-04,-0.0010,5.2E-04,-0.0007,2.9E-02,3.2E-02,4.6E-02,3.4E-01,,,yes
cg08355538,12,113013707,,,0.89,0.025,-0.0009,8.7E-04,-0.0005,4.2E-02,-0.0004,1.3E-01,3.2E-02,4.0E-01,5.9E-01,,,yes
cg00718539,7,74122,,,0.59,0.063,-0.0005,8.7E-04,-0.0006,4.6E-05,-0.0008,2.3E-06,3.2E-02,9.8E-03,1.2E-03,,,yes
cg06096336,2,231989800,PSMD1,Body,0.58,0.062,-0.0008,8.7E-04,-0.0007,1.9E-03,-0.0006,2.0E-02,3.2E-02,9.8E-02,2.9E-01,no,,yes
cg23916689,1,25292034,RUNX3,TSS1500,0.79,0.059,-0.0007,8.7E-04,-0.0006,1.7E-03,-0.0005,9.9E-03,3.2E-02,9.1E-02,2.1E-01,,,yes
cg02913553,8,1951383,KBTBD11,3'UTR,0.64,0.074,-0.0008,8.7E-04,-0.0006,1.4E-02,-0.0004,1.0E-01,3.2E-02,2.6E-01,5.5E-01,,,yes
cg02216481,17,7942137,ALOX15B,TSS1500,0.62,0.075,-0.0010,8.7E-04,-0.0008,3.5E-03,-0.0007,1.8E-02,3.2E-02,1.3E-01,2.8E-01,,,yes
cg20426042,8,97778709,PGCP,5'UTR,0.55,0.089,-0.0011,8.7E-04,-0.0004,1.9E-01,-0.0008,1.3E-02,3.2E-02,6.6E-01,2.4E-01,,,yes
cg06091013,17,6679482,FBXO39,TSS200,0.10,0.048,-0.0013,8.7E-04,-0.0010,6.2E-03,-0.0009,3.1E-02,3.2E-02,1.8E-01,3.5E-01,,,yes
cg22909759,14,65185328,PLEKHG3,5'UTR,0.87,0.037,-0.0007,8.7E-04,-0.0007,6.0E-04,-0.0006,7.7E-03,3.2E-02,5.1E-02,1.9E-01,,,yes
cg22850128,1,68654112,GPR177,Body,0.87,0.061,-0.0018,8.7E-04,-0.0011,3.0E-02,-0.0013,1.9E-02,3.2E-02,3.5E-01,2.8E-01,,,yes
cg04142296,8,38757532,PLEKHA2,TSS1500,0.33,0.087,-0.0011,8.7E-04,-0.0007,2.8E-02,-0.0010,3.2E-03,3.2E-02,3.5E-01,1.2E-01,,,yes
cg04366628,4,26290463,,,0.44,0.126,-0.0012,8.7E-04,-0.0011,4.5E-04,-0.0016,1.1E-05,3.2E-02,4.2E-02,3.6E-03,,,yes
cg05985988,6,15304885,JARID2,Body,0.77,0.049,-0.0009,8.7E-04,-0.0008,2.0E-03,-0.0005,4.9E-02,3.2E-02,1.0E-01,4.2E-01,,,yes
cg06884254,11,62454905,LRRN4CL,3'UTR,0.77,0.045,-0.0008,8.7E-04,-0.0006,9.8E-03,-0.0008,9.0E-04,3.2E-02,2.2E-01,5.9E-02,,,yes
cg16878214,8,96167001,PLEKHF2,Body,0.89,0.035,-0.0008,8.7E-04,-0.0006,4.7E-03,-0.0005,4.8E-02,3.2E-02,1.6E-01,4.2E-01,,,yes
cg14477584,15,90293274,MESP1,3'UTR,0.27,0.070,-0.0008,8.7E-04,-0.0003,1.7E-01,-0.0005,3.8E-02,3.2E-02,6.4E-01,3.8E-01,,,yes
cg18225577,19,49713901,TRPM4,Body,0.79,0.103,-0.0023,8.7E-04,-0.0024,2.3E-04,-0.0015,3.6E-02,3.2E-02,2.8E-02,3.7E-01,,,yes
cg15496956,1,47701206,,,0.06,0.024,-0.0012,8.7E-04,-0.0005,1.2E-01,-0.0004,2.5E-01,3.2E-02,5.7E-01,7.3E-01,,,yes
cg03131767,12,123446272,ABCB9,5'UTR,0.86,0.039,-0.0010,8.7E-04,-0.0005,7.0E-02,-0.0004,2.0E-01,3.2E-02,4.8E-01,6.8E-01,,,yes
cg01745539,6,32632331,HLA-DQB1,Body,0.35,0.141,-0.0022,8.7E-04,-0.0019,1.9E-03,-0.0020,3.4E-03,3.2E-02,9.8E-02,1.2E-01,,,yes
cg16583303,6,30614323,C6orf136,TSS1500,0.45,0.075,-0.0010,8.7E-04,-0.0010,5.6E-04,-0.0009,3.6E-03,3.2E-02,4.8E-02,1.3E-01,,,yes
cg11510931,10,79996622,,,0.74,0.050,-0.0008,8.8E-04,-0.0002,3.6E-01,-0.0005,5.9E-02,3.2E-02,7.9E-01,4.5E-01,,,yes
cg03624871,6,317607,DUSP22,Body,0.73,0.089,-0.0015,8.8E-04,-0.0011,9.5E-03,-0.0012,1.2E-02,3.2E-02,2.2E-01,2.3E-01,,,yes
cg13551117,2,111979398,,,0.50,0.130,-0.0010,8.8E-04,-0.0008,5.8E-03,-0.0008,1.0E-02,3.2E-02,1.7E-01,2.2E-01,,,yes
cg22987011,5,75753776,IQGAP2,Body,0.64,0.079,-0.0009,8.8E-04,-0.0010,1.0E-04,-0.0012,4.2E-05,3.2E-02,1.7E-02,8.8E-03,,,yes
cg21199495,1,155059162,EFNA3,3'UTR,0.61,0.052,-0.0006,8.8E-04,-0.0007,2.1E-04,-0.0005,1.6E-02,3.2E-02,2.6E-02,2.7E-01,,,yes
cg02134839,17,48260961,,,0.49,0.038,-0.0005,8.8E-04,-0.0002,1.0E-01,-0.0003,4.7E-02,3.2E-02,5.5E-01,4.1E-01,,,yes
cg03755957,12,104363275,TDG,Body,0.90,0.034,-0.0012,8.8E-04,-0.0006,7.2E-02,-0.0005,1.5E-01,3.2E-02,4.9E-01,6.3E-01,,,yes
cg11720556,19,37764088,,,0.81,0.048,-0.0009,8.8E-04,-0.0009,1.7E-04,-0.0007,8.6E-03,3.2E-02,2.2E-02,2.0E-01,,,yes
cg03607179,9,139236708,GPSM1,Body,0.59,0.037,-0.0005,8.8E-04,-0.0004,4.8E-03,-0.0004,4.8E-03,3.2E-02,1.6E-01,1.5E-01,,,yes
cg02358323,11,44541718,,,0.77,0.047,-0.0009,8.8E-04,-0.0004,8.6E-02,-0.0007,1.1E-02,3.2E-02,5.2E-01,2.2E-01,,,yes
cg08520746,2,172945932,,,0.22,0.062,-0.0010,8.8E-04,-0.0008,3.8E-03,-0.0006,4.0E-02,3.2E-02,1.4E-01,3.9E-01,,,yes
cg14441491,7,73280151,WBSCR28,Body,0.87,0.035,-0.0008,8.8E-04,-0.0007,4.0E-03,-0.0009,1.1E-03,3.2E-02,1.4E-01,6.7E-02,,,yes
cg10187674,17,67323922,ABCA5,TSS1500,0.17,0.060,-0.0012,8.8E-04,-0.0011,1.5E-03,-0.0012,1.2E-03,3.2E-02,8.5E-02,6.9E-02,,,yes
cg05465955,17,40715236,COASY,1stExon,0.74,0.061,-0.0010,8.8E-04,-0.0010,3.1E-04,-0.0009,2.1E-03,3.2E-02,3.4E-02,9.6E-02,,,yes
cg10954944,3,184377617,,,0.79,0.048,-0.0009,8.8E-04,-0.0008,2.5E-03,-0.0007,1.5E-02,3.2E-02,1.1E-01,2.6E-01,,,yes
cg09517873,1,12656315,DHRS3,Body,0.69,0.057,-0.0006,8.8E-04,-0.0006,2.9E-04,-0.0005,5.1E-03,3.2E-02,3.2E-02,1.5E-01,,,yes
cg12371924,12,25102469,BCAT1,TSS200,0.77,0.076,-0.0013,8.8E-04,-0.0010,3.9E-03,-0.0018,3.7E-06,3.2E-02,1.4E-01,1.7E-03,,,yes
cg00554070,3,43760546,ABHD5,3'UTR,0.93,0.018,-0.0010,8.8E-04,-0.0004,1.4E-01,-0.0004,1.8E-01,3.2E-02,6.0E-01,6.6E-01,,,yes
cg25353450,5,140792511,PCDHGA4,Body,0.13,0.066,-0.0018,8.8E-04,-0.0013,1.4E-02,-0.0020,4.5E-04,3.2E-02,2.6E-01,3.9E-02,,,yes
cg25505023,5,9661569,LOC285692,Body,0.81,0.064,-0.0014,8.8E-04,-0.0010,8.7E-03,-0.0014,1.3E-03,3.2E-02,2.1E-01,7.3E-02,,,yes
cg14330293,17,1374051,MYO1C,Body,0.58,0.054,0.0005,8.8E-04,0.0003,1.5E-02,0.0004,3.7E-03,3.2E-02,2.7E-01,1.3E-01,no,,yes
cg10773526,4,143327279,INPP4B,Body,0.82,0.047,-0.0008,8.8E-04,-0.0006,1.2E-02,-0.0007,6.6E-03,3.2E-02,2.4E-01,1.7E-01,,,yes
cg13724383,9,130265187,LRSAM1,3'UTR,0.87,0.031,-0.0008,8.8E-04,-0.0004,8.2E-02,-0.0002,3.9E-01,3.2E-02,5.1E-01,8.1E-01,,,yes
cg16854876,4,40752947,NSUN7,Body,0.70,0.050,-0.0008,8.8E-04,-0.0003,1.8E-01,-0.0006,1.5E-02,3.2E-02,6.5E-01,2.6E-01,,,yes
cg25104437,2,45170725,SIX3,Body,0.29,0.058,-0.0006,8.8E-04,-0.0002,1.9E-01,-0.0005,9.5E-03,3.2E-02,6.6E-01,2.1E-01,,,yes
cg00892324,7,2565575,LFNG,Body,0.45,0.086,-0.0005,8.8E-04,-0.0003,4.1E-02,-0.0005,3.6E-03,3.2E-02,4.0E-01,1.3E-01,,,yes
cg26033526,6,32819858,TAP1,Body,0.53,0.124,-0.0008,8.8E-04,-0.0008,9.3E-04,-0.0004,8.8E-02,3.2E-02,6.5E-02,5.2E-01,,,yes
cg08895311,16,11345608,,,0.90,0.026,-0.0009,8.8E-04,-0.0006,3.6E-02,-0.0004,1.5E-01,3.2E-02,3.8E-01,6.2E-01,,,yes
cg20995564,2,145172035,ZEB2,Body,0.73,0.072,-0.0010,8.8E-04,-0.0006,3.0E-02,-0.0006,5.4E-02,3.2E-02,3.5E-01,4.4E-01,,,yes
cg16579650,10,64530590,,,0.86,0.036,-0.0008,8.8E-04,-0.0009,1.3E-04,-0.0008,2.7E-03,3.2E-02,1.9E-02,1.1E-01,,,yes
cg20162146,22,35795394,MCM5,TSS1500,0.95,0.031,-0.0018,8.8E-04,-0.0012,1.3E-02,-0.0015,6.1E-03,3.2E-02,2.5E-01,1.7E-01,,,yes
cg22887526,17,43224556,HEXIM1,TSS200,0.09,0.028,-0.0012,8.8E-04,-0.0009,7.6E-03,-0.0007,5.3E-02,3.2E-02,2.0E-01,4.4E-01,,,yes
cg18221021,11,84432312,DLG2,Body,0.14,0.045,-0.0010,8.8E-04,-0.0005,8.8E-02,-0.0007,1.6E-02,3.2E-02,5.2E-01,2.6E-01,,,yes
cg18633197,10,135387962,,,0.31,0.084,-0.0013,8.8E-04,-0.0005,1.4E-01,-0.0012,3.9E-03,3.2E-02,6.1E-01,1.3E-01,,,yes
cg22036248,4,8089239,ABLIM2,Body,0.85,0.037,-0.0009,8.8E-04,-0.0004,1.0E-01,-0.0004,1.7E-01,3.3E-02,5.5E-01,6.5E-01,,,yes
cg11566154,6,80579376,,,0.12,0.043,-0.0013,8.8E-04,-0.0009,1.2E-02,-0.0005,1.9E-01,3.3E-02,2.5E-01,6.7E-01,,,yes
cg00688962,4,21950567,KCNIP4,TSS200,0.24,0.096,-0.0015,8.8E-04,-0.0007,9.3E-02,-0.0008,9.0E-02,3.3E-02,5.3E-01,5.3E-01,,,yes
cg10726931,3,64195412,PRICKLE2,5'UTR,0.68,0.053,-0.0007,8.8E-04,-0.0005,1.5E-02,-0.0003,2.1E-01,3.3E-02,2.7E-01,6.9E-01,,,yes
cg06258780,5,7851407,C5orf49,TSS200,0.29,0.057,-0.0007,8.8E-04,-0.0003,1.0E-01,-0.0002,2.6E-01,3.3E-02,5.5E-01,7.4E-01,,,yes
cg14112356,21,46348443,ITGB2,5'UTR,0.52,0.087,-0.0005,8.8E-04,-0.0003,9.9E-03,-0.0003,2.7E-02,3.3E-02,2.2E-01,3.3E-01,,,yes
cg08220872,19,17613063,SLC27A1,Body,0.91,0.040,-0.0010,8.8E-04,-0.0008,9.8E-03,-0.0008,1.3E-02,3.3E-02,2.2E-01,2.4E-01,,,yes
cg04212150,18,56531132,ZNF532,5'UTR,0.13,0.039,-0.0009,8.8E-04,-0.0007,5.2E-03,-0.0007,4.7E-03,3.3E-02,1.7E-01,1.5E-01,,,yes
cg08390994,22,36563027,APOL3,TSS1500,0.33,0.101,-0.0018,8.8E-04,-0.0014,6.0E-03,-0.0006,2.5E-01,3.3E-02,1.8E-01,7.3E-01,,,yes
cg02351713,6,73329475,,,0.47,0.066,-0.0009,8.8E-04,-0.0004,1.3E-01,-0.0005,9.0E-02,3.3E-02,5.9E-01,5.3E-01,,,yes
cg11014468,3,53362965,DCP1A,Body,0.59,0.129,-0.0006,8.8E-04,-0.0004,1.3E-02,-0.0003,1.5E-01,3.3E-02,2.5E-01,6.2E-01,,,yes
cg14019826,9,34638141,SIGMAR1,TSS1500,0.08,0.035,-0.0014,8.8E-04,-0.0011,6.4E-03,-0.0010,2.5E-02,3.3E-02,1.8E-01,3.2E-01,,,yes
cg02596281,2,113595614,IL1B,TSS1500,0.87,0.030,-0.0009,8.8E-04,-0.0007,2.9E-03,-0.0006,4.5E-02,3.3E-02,1.2E-01,4.1E-01,,,yes
cg08886823,16,68270882,ESRP2,TSS1500,0.29,0.101,-0.0012,8.8E-04,-0.0006,9.9E-02,-0.0002,6.5E-01,3.3E-02,5.4E-01,9.2E-01,,,yes
cg11282657,17,79615101,TSPAN10,Body,0.37,0.071,-0.0008,8.9E-04,-0.0005,2.9E-02,-0.0006,1.3E-02,3.3E-02,3.5E-01,2.4E-01,,,yes
cg11078773,15,62538816,,,0.79,0.050,-0.0008,8.9E-04,-0.0007,1.9E-03,-0.0009,1.7E-04,3.3E-02,9.8E-02,2.2E-02,,,yes
cg05393578,1,6094316,KCNAB2,5'UTR,0.74,0.052,-0.0008,8.9E-04,-0.0008,4.1E-04,-0.0011,3.8E-06,3.3E-02,4.0E-02,1.7E-03,,,yes
cg01844514,7,149557121,ZNF862,Body,0.84,0.050,-0.0009,8.9E-04,-0.0006,2.5E-02,-0.0008,7.8E-03,3.3E-02,3.3E-01,1.9E-01,,,yes
cg04506190,3,129323941,PLXND1,Body,0.47,0.079,-0.0011,8.9E-04,-0.0009,1.7E-03,-0.0007,4.2E-02,3.3E-02,9.3E-02,4.0E-01,,,yes
cg19988235,2,9945589,,,0.79,0.057,-0.0008,8.9E-04,-0.0004,4.4E-02,-0.0007,3.2E-03,3.3E-02,4.1E-01,1.2E-01,,,yes
cg13519373,2,219030898,CXCR1,5'UTR,0.86,0.058,-0.0009,8.9E-04,-0.0008,1.3E-03,-0.0009,2.7E-03,3.3E-02,8.0E-02,1.1E-01,,,yes
cg24336374,21,36164119,RUNX1,3'UTR,0.90,0.038,-0.0012,8.9E-04,-0.0006,9.5E-02,-0.0003,4.8E-01,3.3E-02,5.4E-01,8.6E-01,,,yes
cg11804721,1,153752529,SLC27A3,3'UTR,0.76,0.047,-0.0008,8.9E-04,-0.0004,3.8E-02,-0.0005,4.4E-02,3.3E-02,3.9E-01,4.1E-01,,,yes
cg26460030,3,69134087,ARL6IP5,TSS200,0.03,0.013,-0.0018,8.9E-04,-0.0011,3.0E-02,-0.0016,3.4E-03,3.3E-02,3.5E-01,1.2E-01,,,yes
cg00449930,16,69555896,,,0.86,0.044,-0.0012,8.9E-04,-0.0011,1.5E-03,-0.0012,1.6E-03,3.3E-02,8.5E-02,8.1E-02,,,yes
cg16872595,18,77710649,PQLC1,Body,0.45,0.058,-0.0006,8.9E-04,-0.0005,5.1E-03,-0.0003,8.4E-02,3.3E-02,1.6E-01,5.1E-01,,,yes
cg17568809,5,142153529,ARHGAP26,Body,0.68,0.063,-0.0010,8.9E-04,-0.0006,2.7E-02,-0.0007,2.9E-02,3.3E-02,3.4E-01,3.4E-01,,,yes
cg02458065,19,52598653,ZNF841,5'UTR,0.10,0.071,-0.0021,8.9E-04,-0.0012,3.3E-02,-0.0017,1.1E-02,3.3E-02,3.7E-01,2.2E-01,,,yes
cg09516349,19,18529339,SSBP4,TSS1500,0.31,0.044,-0.0006,8.9E-04,-0.0002,1.7E-01,-0.0007,1.4E-04,3.3E-02,6.4E-01,1.8E-02,,,yes
cg03471593,16,55542668,LPCAT2,TSS1500,0.75,0.073,-0.0012,8.9E-04,-0.0009,4.9E-03,-0.0007,6.9E-02,3.3E-02,1.6E-01,4.8E-01,,,yes
cg01149683,3,66705803,,,0.63,0.081,-0.0010,8.9E-04,-0.0003,2.7E-01,-0.0007,3.1E-02,3.3E-02,7.3E-01,3.5E-01,,,yes
cg11450671,19,595812,HCN2,Body,0.66,0.052,-0.0008,8.9E-04,-0.0006,5.4E-03,-0.0008,1.5E-03,3.3E-02,1.7E-01,7.9E-02,,,yes
cg14174912,10,3824516,KLF6,Body,0.55,0.113,-0.0012,8.9E-04,-0.0006,5.9E-02,-0.0008,2.1E-02,3.3E-02,4.5E-01,3.0E-01,,,yes
cg11273250,6,42716703,,,0.91,0.025,-0.0009,8.9E-04,-0.0006,7.3E-03,-0.0006,2.7E-02,3.3E-02,1.9E-01,3.3E-01,,,yes
cg04255770,6,32804677,TAP2,Body,0.86,0.055,-0.0010,8.9E-04,-0.0008,5.7E-03,-0.0009,2.9E-03,3.3E-02,1.7E-01,1.1E-01,,,yes
cg15645757,1,154521578,UBE2Q1,3'UTR,0.88,0.028,-0.0008,8.9E-04,-0.0010,1.7E-05,-0.0009,1.1E-03,3.3E-02,5.1E-03,6.5E-02,,,yes
cg25468516,11,65408028,SIPA1,5'UTR,0.12,0.036,-0.0010,8.9E-04,-0.0003,3.2E-01,-0.0003,2.7E-01,3.3E-02,7.6E-01,7.4E-01,,,yes
cg15636087,19,58194098,ZNF551,Body,0.50,0.061,-0.0008,8.9E-04,-0.0008,7.7E-04,-0.0007,5.1E-03,3.3E-02,5.8E-02,1.5E-01,,,yes
cg23646375,1,209847618,G0S2,TSS1500,0.67,0.085,-0.0007,8.9E-04,-0.0007,7.9E-04,-0.0006,3.1E-03,3.3E-02,5.9E-02,1.2E-01,,,yes
